product_name,categories_tags,ingredients_text,manufacturing_places,stores,stores_tags,nutrient_levels_sugars,nutrient_levels_fat,nutrient_levels_saturated-fat,nutrient_levels_salt,nutriments_nutrient_levels_saturated-fat,nutriments_nutrient_levels_fat,nutriments_nutrition-score-fr_100g,nutriments_sugars_value,nutriments_fruits-vegetables-nuts-estimate-from-ingredients_serving,nutriments_iron_unit,nutriments_sodium_100g,nutriments_fiber_100g,nutriments_energy-kj_value,nutriments_iron_label,nutriments_iron,nutriments_energy-kcal_prepared_unit,nutriments_alpha-linolenic-acid_value,nutriments_salt_value,nutriments_magnesium,nutriments_fat_unit,nutriments_carbohydrates_100g,nutriments_calcium_100g,nutriments_magnesium_serving,nutriments_fruits-vegetables-nuts_prepared_unit,nutriments_saturated-fat,nutriments_saturated-fat_unit,nutriments_carbohydrates_value,nutriments_phosphore_100g,nutriments_carbon-footprint-from-known-ingredients_serving,nutriments_energy-kj_value_computed,nutriments_phosphorus_serving,nutriments_energy-kcal_100g,nutriments_carbohydrates_serving,nutriments_salt_serving,nutriments_sugars,nutriments_alpha-linolenic-acid,nutriments_energy-kcal_value,nutriments_cocoa_value,nutriments_energy_100g,nutriments_fer_serving,nutriments_cocoa_100g,nutriments_energy_prepared_unit,nutriments_alcohol_prepared_unit,nutriments_alpha-linolenic-acid_unit,nutriments_iron_100g,nutriments_zinc_value,nutriments_iron_serving,nutriments_fer_100g,nutriments_fat_serving,nutriments_energy,nutriments_magnesium_100g,nutriments_cocoa,nutriments_nova-group,nutriments_proteins,nutriments_proteins_unit,nutriments_sugars_prepared_unit,nutriments_phosphorus_100g,nutriments_phosphorus_unit,nutriments_proteins_serving,nutriments_carbon-footprint-from-known-ingredients_100g,nutriments_phosphore_serving,nutriments_nutrient_levels_sugars,nutriments_proteins_prepared_unit,nutriments_phosphorus,nutriments_sterco-di-mucca_prepared_unit,nutriments_energy-kcal_unit,nutriments_sodium_unit,nutriments_zinc_label,nutriments_nova-group_serving,nutriments_sugars_unit,nutriments_energy-kj_serving,nutriments_sugars_100g,nutriments_phosphorus_label,nutriments_magnesium_label,nutriments_energy-kcal,nutriments_fat_100g,nutriments_fiber_value,nutriments_carbohydrates_unit,nutriments_fiber_prepared_unit,nutriments_salt_unit,nutriments_sodium_prepared_unit,nutriments_calcium,nutriments_proteins_value,nutriments_iron_value,nutriments_nova-group_100g,nutriments_calcium_label,nutriments_cocoa_unit,nutriments_saturated-fat_prepared_unit,nutriments_sodium_value,nutriments_saturated-fat_100g,nutriments_salt,nutriments_cocoa_serving,nutriments_cocoa_label,nutriments_fruits-vegetables-legumes-estimate-from-ingredients_100g,nutriments_salt_100g,nutriments_carbohydrates_prepared_unit,nutriments_zinc_unit,nutriments_fat,nutriments_energy-kj_100g,nutriments_proteins_100g,nutriments_carbohydrates,nutriments_energy-kj_prepared_unit,nutriments_fruits-vegetables-nuts-estimate-from-ingredients_100g,nutriments_saturated-fat_value,nutriments_sodium_serving,nutriments_nutrition-score-fr,nutriments_fruits-vegetables-legumes-estimate-from-ingredients_serving,nutriments_energy-kj,nutriments_fat_prepared_unit,nutriments_fiber_unit,nutriments_sodium,nutriments_phosphorus_value,nutriments_saturated-fat_serving,nutriments_zinc_serving,nutriments_energy_value,nutriments_zinc,nutriments_carbon-footprint-from-known-ingredients_product,nutriments_fiber_serving,nutriments_energy_serving,nutriments_fiber,nutriments_magnesium_unit,nutriments_alpha-linolenic-acid_100g,nutriments_sugars_serving,nutriments_fat_value,nutriments_magnesium_value,nutriments_zinc_100g,nutriments_salt_prepared_unit,nutriments_calcium_unit,nutriments_energy-kcal_serving,nutriments_energy_unit,nutriments_calcium_value,nutriments_energy-kj_unit,nutriments_carbon-footprint_prepared_unit,nutriments_energy-kcal_value_computed,nutriments_nutrient_levels_salt
Pesto Basilic extra frais,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:condiments', 'en:culinary-plants', 'en:aromatic-plants', 'en:herbs', 'en:sauces', 'en:pasta-sauces', 'en:pestos', 'en:basil', 'en:green-pestos', 'fr:pesto-vert']","fresh basil (37%), sunflower oil (26%), water, italian cheeses (pecorino romani, grana padano (contains or) 2,9%), glucose syrup, potato flakes, salt, extra virgin olive oil (2%), cashew nut flour, pine seeds (0,5%), acidifying srome l lactic acid, antioxidant, ascorbic acid,",Italie,"Leclerc,Carrefour,carrefour.fr,Carrefour Market","['leclerc', 'carrefour', 'carrefour-fr', 'carrefour-market']",low,high,moderate,high,,,22.0,3.5,39.0,,1.12,1.8,1360.0,,,,,2.8,,g,7.9,,,,4.5,g,7.9,,72.8,1360.3,,329.0,7.9,2.8,3.5,,329,,1360.0,,,,,,,,,,31.0,1360,,,4,3.8,g,,,,3.8,72.8,,,,,,kcal,g,,4,g,1360.0,3.5,,,329,31.0,1.8,g,,g,,,3.8,,4,,,,1.12,4.5,2.8,,,37.0,2.8,,,31.0,1360.0,3.8,7.9,,39.0,4.5,1.12,22.0,37.0,1360.0,,g,1.12,,4.5,,1360,,146.0,1.8,1360.0,1.8,,,3.5,31.0,,,,,329.0,kJ,,kJ,,329.4,
single origin milk chocolate,"['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:chocolates', 'en:milk-chocolates']","Cocoa Butter, Dried Whole Milk, Cane Sugar, Cocoa Mass, Milk Fat, Vanilla Extract",,Marks & Spencer,['marks-spencer'],high,high,high,low,,,29.0,37.2,0.0,,0.1,,,,,,,0.25,,g,37.9,,,,29.1,g,37.9,,,,,618.0,,,37.2,,618,46.0,2586.0,,46.0,,,,,,,,,2586,,46.0,3,8.4,g,,,,,,,,,,,kcal,g,,3,g,,37.2,,,618,47.4,,g,,g,,,8.4,,3,,,,0.1,29.1,0.25,46.0,0,0.0,0.25,,,47.4,,8.4,37.9,,0.0,29.1,,29.0,0.0,,,,0.1,,,,618,,,,,,,,,47.4,,,,,,kcal,,,,611.8,
Margherita Sourdough Pizza,"['en:meals', 'en:pizzas-pies-and-quiches', 'en:pizzas', 'en:vegetarian-pizzas', 'en:margherita-pizza', 'en:sourdough']","Wheat Flour, Mozzarella Cheese (19%) (Cow's Milk), Water, Tomato (8%), Tomato Puree (8%), Sunflower Oil, Parmigiano Reggiano D.O.P. Cheese (Cow's Milk, Non-Vegetarian Rennet), Salt, Olive Oil, Sicilian Oregano (0.05%), Yeast.",,,,low,moderate,moderate,moderate,,,5.0,2.5,16.615,,0.472,2.3,,,,,,1.18,,g,30.0,,,,3.0,g,30.0,,,,,230.0,60.6,2.38,2.5,,230,,962.0,,,,,,,,,,14.7,962,,,3,10.0,g,,,,20.2,,,,,,,kcal,g,,3,g,,2.5,,,230,7.3,2.3,g,,g,,,10.0,,3,,,,0.472,3.0,1.18,,,16.0,1.18,,,7.3,,10.0,30.0,,16.615,3.0,0.953,5.0,16.0,,,g,0.472,,6.06,,230,,,4.65,1940.0,2.3,,,5.05,7.3,,,,,465.0,kcal,,,,230.3,
Pâtes spaghetti au blé complet integral 500g,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:pastas', 'en:dry-pastas', 'en:spaghetti', 'de:vollkorn-hartweizen', 'en:aliments-d-origine-vegetale', 'en:aliments-et-boissons-a-base-de-vegetaux', 'en:cereales-et-derives', 'en:cereales-et-pommes-de-terre', 'en:pates-alimentaires', 'en:pates-alimentaires-de-cereales', 'en:pates-de-ble-dur', 'en:pates-de-ble-dur-complet', 'en:pates-seches', 'en:spaghettis-de-ble-dur', 'en:spaghettis-de-ble-dur-complet']",Semoule complète de BLÉ dur. Peut contenir des traces de SOJA et de MOUTARDE.,"Italie,Grèce","Leader Price,Franprix,Magasins U,Kaufland,Edeka,COMBI,REWE,LIDL,Denner,carrefour.fr,Consum","['leader-price', 'franprix', 'magasins-u', 'kaufland', 'edeka', 'combi', 'rewe', 'lidl', 'denner', 'carrefour-fr', 'consum']",low,low,low,low,,,-5.0,3.5,0.0,mg,0.004,8.0,1466.0,0,0.0033,,,0.01,0.094,g,64.0,,0.0752,,0.5,g,64.0,0.265,,1465.5,0.244,347.0,51.2,0.008,3.5,,347,,1466.0,0.0,,,,,0.0033,3.1,0.00264,0.0025,2.0,1466,0.094,,1,13.0,g,,0.305,mg,10.4,,0.0,,,0.305,,kcal,g,0,1,g,1170.0,3.5,0,0,347,2.5,8.0,g,,g,,,13.0,3.3,1,,,,0.004,0.5,0.01,,,0.0,0.01,,mg,2.5,1466.0,13.0,64.0,,0.0,0.5,0.0032,-5.0,0.0,1466.0,,g,0.004,305.0,0.4,0.00248,1466,0.0031,,6.4,1170.0,8.0,mg,,2.8,2.5,94.0,0.0031,,,278.0,kJ,,kJ,,346.5,
Italian Tomato Purée,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:condiments', 'en:vegetables-based-foods', 'en:sauces', 'en:tomatoes-and-their-products', 'en:tomato-sauces', 'en:tomato-purees', 'en:groceries']","Tomato Purée, Acidity Regulator (Citric Acid).",,Tesco,['tesco'],high,low,low,moderate,,,1.0,14.0,75.0,,0.157,3.1,,,,,,0.3925,,g,14.0,,,,0.1,g,14.0,,,,,84.0,2.1,0.0589,14.0,,84,,351.0,,,,,,,,,,0.045,351,,,1,4.7,g,,,,0.705,,,,,,,kcal,g,,1,g,,14.0,,,84,0.3,3.1,g,,g,,,4.7,,1,,,,0.157,0.1,0.3925,,,75.0,0.3925,,,0.3,,4.7,14.0,,75.0,0.1,0.0236,1.0,75.0,,,g,0.157,,0.015,,84,,,0.465,52.6,3.1,,,2.1,0.3,,,,,12.6,kcal,,,,83.7,
Chopped Tomatoes,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:canned-foods', 'en:vegetables-based-foods', 'en:canned-plant-based-foods', 'en:vegetables', 'en:canned-vegetables', 'en:tomatoes-and-their-products', 'en:tomatoes', 'en:canned-tomatoes']","Tomatoes 60%, Tomato Juice, Acidity Regulator (Citric Acid).",,Tesco,['tesco'],low,low,low,low,,,-4.0,7.6,90.0,,0.0275,0.7,,,,,,0.1375,,g,3.8,,,,0.1,g,7.6,,,,,22.0,7.6,0.1375,7.6,,44,,92.0,,,,,,,,,,0.2,184,,,1,2.2,g,,,,2.2,,,,,,,kcal,g,,1,g,,3.8,,,44,0.1,1.4,g,,g,,,2.2,,1,,,,0.055,0.05,0.1375,,,90.0,0.0688,,,0.2,,1.1,7.6,,90.0,0.1,0.055,-4.0,90.0,,,g,0.055,,0.1,,44,,,1.4,184.0,1.4,,,7.6,0.2,,,,,44.0,kcal,,,,43.8,
Durum wheat flatbreads,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:flatbreads', 'en:white-breads', 'en:wheat-breads', 'en:wheat-flatbreads']","Italian Reground Durum Wheat Semolina (67%), Water, Extra Virgin Olive Oil (8%), Salt. ALLERGEN ADVICE: For allergens, including cereals containing gluten, see ingredients in bold. May contain traces of mustard seed and soy.",,,,low,moderate,low,moderate,,,11.0,2.4,8.0,,0.59,2.0,,,,,,1.475,,g,47.0,,,,1.2,g,47.0,,,,,299.0,18.8,0.59,2.4,,299,,1251.0,,,,,,,,,,3.16,1251,,,3,8.9,g,,,,3.56,,,,,,,kcal,g,,3,g,,2.4,,,299,7.9,2.0,g,,g,,,8.9,,3,,,,0.59,1.2,1.475,,,0.0,1.475,,,7.9,,8.9,47.0,,8.0,1.2,0.236,11.0,0.0,,,g,0.59,,0.48,,299,,,0.8,500.0,2.0,,,0.96,7.9,,,,,120.0,kcal,,,,298.7,
Soja nature sans sucre ajouté bio,"['en:beverages-and-beverages-preparations', 'en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:legumes-and-their-products', 'en:dairy-substitutes', 'en:milk-substitutes', 'en:plant-based-beverages', 'en:plant-based-milk-alternatives', 'en:legume-based-drinks', 'en:soy-based-drinks', 'en:unsweetened-plain-soy-based-drinks']","eau, fèves de _soja_* 8%",Italie,"intermarché,Magasins U,Monoprix,carrefour.fr","['intermarche', 'magasins-u', 'monoprix', 'carrefour-fr']",low,moderate,low,low,,,-4.0,0.5,8.0,,0.012,0.5,178.0,,,,,0.03,,g,0.7,,,,0.6,g,0.7,,,178.4,,43.0,0.7,0.03,0.5,,43,,178.0,,,,,,,,,,2.6,178,,,1,3.9,g,,,,3.9,,,,,,,kcal,g,,1,g,178.0,0.5,,,43,2.6,0.5,g,,g,,,3.9,,1,,,,0.012,0.6,0.03,,,8.0,0.03,,,2.6,178.0,3.9,0.7,,8.0,0.6,0.012,-4.0,8.0,178.0,,g,0.012,,0.6,,178,,,0.5,178.0,0.5,,,0.5,2.6,,,,,43.0,kJ,,kJ,,42.8,
"Kinder - Delice x10, 390g (13.8oz)","['en:snacks', 'en:desserts', 'en:sweet-snacks', 'en:biscuits-and-cakes', 'en:biscuits-and-crackers', 'en:cocoa-and-its-products', 'en:confectioneries', 'en:biscuits', 'en:chocolate-candies', 'en:cakes', 'en:chocolate-biscuits', 'en:chocolate-cakes']","sugar, vegetable fats (palm, shea, sal), glucose-fructose syrup, humectant: glycerol, rehydrated milk powder 7%, wheat flour 6,5%, skimmed milk powder 5%, dextrose, lean cocoa 3%, cocoa 3%, egg 2,5%, lactoserum powder, concentrated pear juice, wheat starch, milk powder 0,5%, emulsifiers (lecithins [soy], mono and diglycerides of fatty acids), baking powders (ammonium carbonate, sodium acid carbonate), lemon juice concentrate, flavourings, cocoa butter, salt, cocoa paste, concentrated butter",,"Magasins U,Delhaize,S-market","['magasins-u', 'delhaize', 's-market']",high,high,high,low,,,27.0,41.0,0.125,,0.1048,,1901.0,,,,,0.262,,g,58.8,,,,13.1,g,58.8,,5.58,1929.3,,455.0,22.9,0.102,41.0,,455,,1901.0,,,,,,,,,,8.81,1901,,,4,5.5,g,,,,2.15,,,,,,,kcal,g,,4,g,741.0,41.0,,,455,22.6,,g,,g,,,5.5,,4,,,,0.1048,13.1,0.262,,,0.125,0.262,,,22.6,1901.0,5.5,58.8,,0.125,13.1,0.0409,27.0,0.125,1901.0,,,0.1048,,5.11,,1901,,55.8,,741.0,,,,16.0,22.6,,,,,177.0,kJ,,kJ,,460.6,
Chick Peas in Salted Water,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:legumes-and-their-products', 'en:canned-foods', 'en:legumes', 'en:seeds', 'en:canned-plant-based-foods', 'en:legume-seeds', 'en:pulses', 'en:chickpeas', 'en:canned-legumes', 'en:canned-chickpeas']","Chick Peas (60%), Water, Salt.",Italy,Sainsbury's,['sainsbury-s'],low,low,low,,,,,0.2,85.7142857142857,,,3.5,,,,,,,,g,15.0,,,,0.3,g,15.0,,,,,116.0,15.0,,0.2,,116,,485.0,,,,,,,,,,2.2,485,,,3,7.3,g,,,,7.3,,,,,,,kcal,,,3,g,,0.2,,,116,2.2,3.5,g,,,,,7.3,,3,,,,,0.3,,,,85.7142857142857,,,,2.2,,7.3,15.0,,85.7142857142857,0.3,,,85.7142857142857,,,g,,,0.3,,116,,,3.5,485.0,3.5,,,0.2,2.2,,,,,116.0,kcal,,,,116.0,
